Genetic ID,Alternative ID,Latitude,Longitude,Genetic Sex Determination,Analysis Label,Detailed Label,Source (Library components if this study),UDG treatment (minus=untreated; half=treated except in last nucleotides; plus=treated over all nucleotides),Data type,"Date: One of two formats: (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age, Lab number) e.g. 5983-5747 calBCE (6980±50 BP, Beta-226472) or (Format 2) Archaeological context date, e.g. 2500-1700 BCE",Location,Country,Coverage,SNPs,"mitochondrial DNA haplogroup determination (for newly reported sample, only given for individuals with >10x mtDNA coverage)"
I0419,SVP27,53.45,50.45,M,Steppe_MLBA,Potapovka,MathiesonNature2015,half,1240K.capture,2200-1900 BCE,"Utyevka VI, Samara River, Samara",Russia,0.516,474599,U2e1h
I0709,BAR20/ M13-170,40.3,29.56666667,M,Anatolia_N,Anatolia_Neolithic,MathiesonNature2015,half,1240K.capture,6500-6200 BCE,Barcın,Turkey,9.765,1015958,U3
I1581,L12-502,40.3,29.56666667,F,Anatolia_N,Anatolia_Neolithic,MathiesonNature2015,half,1240K.capture,6500-6200 BCE,Barcın,Turkey,2.803,853125,U3
I1303,MIR25,42.33333333,-3.5,M,Europe_MNChL,Iberia_Chalcolithic,MathiesonNature2015,half,1240K.capture,"2900-2346 BCE [2568-2346 calBCE (3950±30 BP, Beta-416457); 2857-2496 calBCE (4080±30 BP, Beta-416456); 2865-2575 calBCE (4110±30 BP, Beta-416458); 2900-2679 calBCE (4210±30 BP, Beta-416455); based on dates of other El Mirador samples)","El Mirador Cave, Atapuerca, Burgos",Spain,0.733,468021,U3a1
I0551,SALZ3B,51.520005,11.852407,M,Europe_MNChL,Salzmuende_MN,MathiesonNature2015,half,1240K.capture,3400-3025 BCE,Salzmuende-Schiebzig,Germany,0.091,104265,U3a1
I0211,UzOO40,61.65,35.65,M,EHG,Karelia_HG,MathiesonNature2015,half,1240K.capture,5500-5000 BCE,"Yuzhnyy Oleni Ostrov, Karelia",Russia,0.136,149746,U4a
I0231,SVP3,52.42,48.24,M,Steppe_EMBA,Yamnaya_Samara,MathiesonNature2015,half,1240K.capture,"2921-2762 calBCE (4260±30 BP, Beta-392487) ","Ekaterinovka, Southern Steppe, Samara",Russia,6.199,1099877,U4a1a or U4a1d
I0434,SVP47,52.22,48.1,M,Steppe_Eneolithic,Samara_Eneolithic,MathiesonNature2015,half,1240K.capture,5200-4000 BCE,"Khvalynsk II, Volga River, Samara",Russia,0.053,62724,U4a2 or U4d
I0011,Motala1,58.535,15.046,F,SHG,Motala_HG,MathiesonNature2015,plus,1240K.capture,"5721-5516 calBCE (6701±64 BP, Ua-42116)","Motala, Kanaljorden",Sweden,1.03,643050,U5a1
I0013,Motala3,58.535,15.046,M,SHG,Motala_HG,MathiesonNature2015,plus,1240K.capture,"5964-5638 calBCE (6877±69 BP, Ua-42117)","Motala, Kanaljorden",Sweden,0.657,320332,U5a1
